,Date,GS,^GSPC,moving_avg_20,moving_avg_50
68,2021-01-05,270.92999267578125,3726.860107421875,250.5710006713867,229.78339965820314
69,2021-01-06,285.54998779296875,3748.139892578125,252.92600021362304,231.39359954833984
70,2021-01-07,291.6499938964844,3803.7900390625,255.56650009155274,233.20379943847655
71,2021-01-08,290.0799865722656,3824.679931640625,257.92949905395506,235.09179931640625
72,2021-01-11,293.8299865722656,3799.610107421875,260.40099868774416,237.17299896240235
73,2021-01-12,302.2099914550781,3801.18994140625,263.51199798583986,239.41839874267578
74,2021-01-13,302.94000244140625,3809.840087890625,266.76949844360354,241.69639892578124
75,2021-01-14,307.8699951171875,3795.5400390625,270.0414985656738,244.04979888916014
76,2021-01-15,301.010009765625,3768.25,272.903498840332,246.11139923095703
77,2021-01-19,294.20001220703125,3798.909912109375,275.39199981689455,248.0379995727539
78,2021-01-20,290.4700012207031,3851.85009765625,277.8089996337891,249.78819946289062
79,2021-01-21,289.3699951171875,3853.070068359375,279.42849884033205,251.55039947509766
80,2021-01-22,289.3900146484375,3841.469970703125,281.39349975585935,253.0395999145508
81,2021-01-25,283.0400085449219,3855.360107421875,282.7229995727539,254.35100006103517
82,2021-01-26,281.760009765625,3849.6201171875,284.0029998779297,255.6252001953125
83,2021-01-27,273.32998657226557,3750.77001953125,284.68999938964845,256.8016000366211
84,2021-01-28,275.01998901367193,3787.3798828125,285.5404983520508,257.92039978027344
85,2021-01-29,271.17001342773443,3714.239990234375,286.1264984130859,258.89619995117187
86,2021-02-01,274.73001098632807,3773.860107421875,286.67749938964846,259.8978002929687
87,2021-02-02,286.9700012207031,3826.31005859375,287.77599945068357,261.15120025634764
88,2021-02-03,288.54998779296875,3830.169921875,288.656999206543,262.43079986572263
89,2021-02-04,293.75,3871.739990234375,289.0669998168945,263.8387997436523
90,2021-02-05,293.5,3886.830078125,289.1595001220703,265.13219970703125
91,2021-02-08,300.1499938964844,3915.590087890625,289.6630004882812,266.38519958496096
92,2021-02-09,300.4599914550781,3911.22998046875,289.9945007324219,267.66359954833985
